                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.96582,                0.60592,                0.94202,                0.73904,                0.67756,                0.73277,                0.48388,                0.92415,                0.57165,                0.94664,               0.005149,               0.005149,               0.005149
                     51,                0.96259,                0.60055,                0.93927,                0.71557,                0.69224,                0.72912,                0.48963,                0.91512,                0.57504,                0.94583,                0.00505,                0.00505,                0.00505
                     52,                  0.962,                0.60169,                0.94042,                0.69189,                0.69287,                0.72856,                0.48784,                0.92532,                0.57317,                0.94968,               0.004951,               0.004951,               0.004951
                     53,                0.96003,                0.60184,                0.93994,                0.69612,                0.70813,                0.74048,                 0.4941,                0.92133,                0.56949,                 0.9462,               0.004852,               0.004852,               0.004852
                     54,                0.95892,                0.59872,                0.93938,                0.73671,                0.66958,                0.72966,                0.48964,                0.91219,                 0.5662,                0.94495,               0.004753,               0.004753,               0.004753
                     55,                0.95215,                0.59443,                0.93797,                0.72703,                0.69065,                0.73561,                0.49593,                 0.9116,                0.56316,                0.94468,               0.004654,               0.004654,               0.004654
                     56,                0.95065,                0.59449,                0.93753,                0.71579,                0.71568,                0.74259,                0.49344,                0.90332,                0.56173,                 0.9365,               0.004555,               0.004555,               0.004555
                     57,                0.94975,                0.59146,                0.93603,                0.74587,                0.69029,                0.74026,                0.49782,                0.90361,                0.56107,                0.93697,               0.004456,               0.004456,               0.004456
                     58,                0.93812,                0.58366,                0.93167,                0.71725,                0.69272,                0.73261,                0.49258,                0.90383,                0.55731,                0.94053,               0.004357,               0.004357,               0.004357
                     59,                  0.933,                0.58224,                0.93098,                0.75167,                 0.6825,                0.73683,                0.49699,                0.89995,                0.55357,                0.94004,               0.004258,               0.004258,               0.004258
                     60,                0.93423,                0.58202,                0.93178,                0.72649,                0.70815,                0.74507,                0.50463,                0.89869,                0.55364,                0.93913,               0.004159,               0.004159,               0.004159
                     61,                0.93072,                0.57809,                0.93029,                0.72101,                0.70756,                0.74483,                0.50426,                0.89318,                0.55316,                0.93639,                0.00406,                0.00406,                0.00406
                     62,                0.92884,                0.57647,                0.92956,                0.71635,                0.71096,                0.74118,                0.50281,                0.89049,                0.55481,                0.93467,               0.003961,               0.003961,               0.003961
                     63,                0.92627,                0.57497,                0.92914,                0.75731,                0.69016,                0.74649,                0.50224,                0.88327,                0.54801,                0.93361,               0.003862,               0.003862,               0.003862
                     64,                 0.9194,                0.57128,                 0.9268,                0.73295,                0.70726,                0.74724,                0.50637,                0.89111,                0.54656,                0.93372,               0.003763,               0.003763,               0.003763
                     65,                0.91838,                0.56922,                0.92545,                0.75591,                0.68557,                0.73879,                0.50488,                0.88374,                0.54671,                 0.9317,               0.003664,               0.003664,               0.003664
                     66,                0.91634,                0.56612,                0.92412,                0.73495,                0.70413,                0.74648,                0.50714,                0.87922,                0.54119,                0.93043,               0.003565,               0.003565,               0.003565
                     67,                0.90932,                 0.5648,                 0.9245,                0.72832,                0.71299,                0.74828,                0.51151,                0.87695,                0.54016,                0.93051,               0.003466,               0.003466,               0.003466
                     68,                0.90552,                0.56027,                0.92177,                0.75595,                0.69413,                 0.7435,                0.51248,                0.87822,                0.53791,                0.93155,               0.003367,               0.003367,               0.003367
                     69,                0.90439,                0.56074,                0.92277,                 0.7539,                0.70374,                0.74993,                0.51166,                 0.8777,                0.53668,                 0.9297,               0.003268,               0.003268,               0.003268
                     70,                0.90431,                0.56005,                0.91981,                0.76682,                0.70102,                0.75362,                0.51386,                0.87918,                0.53748,                0.92999,               0.003169,               0.003169,               0.003169
                     71,                0.89497,                0.55418,                 0.9201,                0.75641,                0.70578,                0.75554,                0.51915,                0.86872,                0.53086,                0.92526,                0.00307,                0.00307,                0.00307
                     72,                0.89321,                0.55331,                0.91954,                0.73372,                0.72624,                0.75482,                0.52063,                0.86975,                0.52938,                0.92427,               0.002971,               0.002971,               0.002971
                     73,                0.89838,                0.55483,                0.91992,                0.76295,                0.70265,                0.75518,                 0.5245,                0.86431,                0.53128,                0.92298,               0.002872,               0.002872,               0.002872
                     74,                0.89132,                0.55139,                0.91698,                0.76513,                0.70108,                0.75649,                0.52311,                0.86583,                0.53225,                0.92637,               0.002773,               0.002773,               0.002773
                     75,                0.88572,                 0.5483,                0.91624,                0.74109,                0.71445,                0.75589,                0.52078,                0.86573,                0.53064,                0.92634,               0.002674,               0.002674,               0.002674
                     76,                0.88576,                0.54623,                 0.9166,                0.75476,                0.71923,                0.75534,                0.52036,                0.86448,                0.52973,                0.92669,               0.002575,               0.002575,               0.002575
                     77,                0.87991,                0.54255,                0.91264,                 0.7304,                0.72557,                0.75551,                0.52094,                0.86231,                0.53146,                0.92414,               0.002476,               0.002476,               0.002476
                     78,                0.87855,                0.54197,                0.91224,                0.75718,                0.72242,                0.76242,                0.52364,                0.86242,                0.52728,                0.92149,               0.002377,               0.002377,               0.002377
                     79,                0.87579,                0.54066,                0.91321,                0.75684,                0.73527,                0.76429,                0.52802,                0.85558,                 0.5247,                0.92064,               0.002278,               0.002278,               0.002278
                     80,                0.86801,                0.53703,                0.91124,                0.76752,                   0.72,                0.76078,                0.52937,                0.85587,                0.52471,                0.92094,               0.002179,               0.002179,               0.002179
                     81,                0.87323,                   0.54,                0.91239,                0.76481,                0.72934,                0.76403,                0.52926,                0.85328,                0.52357,                0.92116,                0.00208,                0.00208,                0.00208
                     82,                0.86375,                0.53107,                0.90885,                0.75686,                0.73051,                0.76226,                 0.5283,                0.85085,                0.52312,                0.91977,               0.001981,               0.001981,               0.001981
                     83,                0.85926,                0.52929,                0.90858,                0.74912,                0.73462,                0.76326,                0.52865,                0.85046,                0.52335,                0.91924,               0.001882,               0.001882,               0.001882
                     84,                 0.8602,                0.53042,                0.90763,                0.73888,                0.73662,                0.76109,                0.52903,                0.84879,                0.52256,                0.91864,               0.001783,               0.001783,               0.001783
                     85,                0.85931,                0.52983,                0.90751,                0.75085,                0.72422,                 0.7593,                0.53083,                0.84665,                0.52072,                0.91811,               0.001684,               0.001684,               0.001684
                     86,                0.85606,                0.52679,                0.90921,                0.77288,                0.72161,                0.76164,                0.53016,                0.84832,                0.52137,                0.91833,               0.001585,               0.001585,               0.001585
